Temp,OL,Time,Ammonia,pH,sCOD,TS,VS,Coliforms,Ecoli,Enterococci,Methane,RFW,DCS,FOG
55,3.5,6,1630,7.46,9477.99,7.41,4.88,1,1,2.6,7.6,0,0.33,0.67
19,0.5,6,1555,7.47,9954.01,5.67,3.48,4.08,3.61,5.99,8.5,0,0.33,0.67
37,2,6,1405,7.54,6953.48,5.83,3.76,3.2,3.04,5.38,80.7,0,0.33,0.67
37,2,6,1225,7.43,7248.74,5.81,3.78,5.17,5.17,5.11,93.1,0,0.33,0.67
37,2,6,1410,7.41,6864.9,5.62,3.72,3.08,3.08,5.3,107.1,0,0.33,0.67
19,3.5,6,1760,7.26,10127.57,6.49,4.4,5.18,4.97,6.15,7,0,0.33,0.67
55,0.5,6,1645,7.68,11034.52,5.61,3.36,1,1,1,5.4,0,0.33,0.67
55,3.5,6,1680,7.57,9655.14,7.42,4.85,1,1,2,5.6,0,0.33,0.67
37,2,6,1465,7.37,7101.11,5.63,3.59,2,2,5.19,86.9,0,0.33,0.67
37,2,6,1645,7.45,8399.85,5.84,3.51,3.72,3.5,5.3,104.2,0,0.33,0.67
19,3.5,6,1315,7.24,10923.75,6.68,4.52,5.34,5.1,5.22,7.3,0,0.33,0.67
55,3.5,6,1700,7.48,8857.93,7.36,4.79,1,1,2.7,8.9,0,0.33,0.67
19,0.5,6,1410,7.53,10383.25,5.7,3.47,3.8,3.61,4.78,7.8,0,0.33,0.67
37,2,6,1345,7.46,8192.63,5.85,3.52,5.24,5.19,5.3,94.8,0,0.33,0.67
55,0.5,6,1650,7.7,10605.27,5.52,3.33,1,1,1,4.7,0,0.33,0.67
37,2,6,1620,7.52,8405.76,5.84,3.42,4.59,4.49,5.38,94.4,0,0.33,0.67
37,2,6,1430,7.47,6912.11,5.46,3.38,3.93,3.61,5.56,86.7,0.75,0.25,0
37,2,6,1420,7.44,8481.05,5.66,3.53,4.54,4.5,6.47,92.5,0.75,0.25,0
55,0.5,6,1585,7.72,10454.76,5.47,3.22,1,1,2.3,3.7,0.75,0.25,0
19,0.5,6,1370,7.48,10766.84,5.71,3.41,4.16,3.3,5.07,10.3,0.75,0.25,0
55,3.5,6,1720,7.21,13704.72,6.08,3.74,1,1,2,12.1,0.75,0.25,0
55,3.5,6,1760,7.24,14090.56,6.04,3.71,2,1,2,15.3,0.75,0.25,0
37,2,6,1455,7.45,8688.81,5.65,3.52,4.61,4.45,5.06,92.6,0.75,0.25,0
19,0.5,6,1375,7.49,9492.75,5.53,3.31,5.18,4.8,6.38,13.2,0.75,0.25,0
37,2,6,1515,7.43,8169.41,5.56,3.49,4.08,3.99,5.89,94.3,0.75,0.25,0
37,2,6,1425,7.45,8837.21,5.68,3.4,4.92,4.84,5.99,89.7,0.75,0.25,0
55,3.5,6,1490,7.25,13482.12,6.09,3.75,1,1,2.48,11.7,0.75,0.25,0
19,0.5,6,1450,7.49,9345.12,5.67,3.4,4.92,4.84,5.27,11.5,0.75,0.25,0
37,2,6,1350,7.44,8050.69,5.49,3.21,4.55,4.5,6.11,76.4,0.75,0.25,0
19,3.5,6,1330,6.93,13215,5.96,3.83,6.38,6.3,6.91,25.4,0.75,0.25,0
19,3.5,6,1270,6.9,12962.72,6.06,3.86,6.27,6.21,6.87,23.5,0.75,0.25,0
55,0.5,6,1470,7.72,9404.17,5.57,3.31,1,1,2,5,0.75,0.25,0
55,3.5,6,1575,7.23,13979.71,6.02,3.73,2,1,2.7,26.5,0.75,0.25,0
19,3.5,6,1300,6.91,13155.64,6,3.82,6.37,6.3,6.77,21.3,0.75,0.25,0
37,2,6,1535,7.43,7763.19,5.46,3.37,4.96,4.96,5.85,91.2,0.75,0.25,0
55,0.5,6,2305,7.76,9861.83,5.56,3.27,1,1,2.3,4,0.75,0.25,0
37,2,6,1425,7.47,8555.25,5.51,3.34,4.98,4.86,6.84,35.3,0.75,0.25,0
19,3.5,6,1375,6.9,12992.4,5.95,3.82,6.3,5.96,7.06,23.8,0.75,0.25,0
37,2,6,1405,7.51,8021.01,5.55,3.47,4.13,3.93,6.11,92.7,0.75,0.25,0
37,2,6,1385,7.46,8748.17,5.54,3.4,2.61,2.3,6.59,71.5,0.75,0.25,0
37,2,6,1550,7.43,8614.61,5.57,3.42,4.56,4.47,6.74,92.5,0.75,0.25,0
19,0.5,6,1340,7.49,9241.77,5.56,3.33,4.41,4.2,5.61,11.7,0.75,0.25,0
37,2,6,1405,7.41,8347.49,5.18,3.58,4.09,4.04,6.11,100.3,0.75,0.25,0
55,0.5,6,1635,7.73,9551.8,5.57,3.27,1,1,1,4.6,0.75,0.25,0
55,3.5,6,1690,7.16,8681.08,6.34,4.17,2,1,2,14.4,0.25,0.75,0
55,0.5,6,1695,7.45,11019.72,5.57,3.29,1,1,1,4.9,0.25,0.75,0
37,2,6,1485,7.38,8429.45,5.56,3.47,5.22,5.22,6.23,104.3,0.25,0.75,0
37,2,6,1405,7.35,7867,5.53,3.42,5.18,5.18,5.42,94.5,0.25,0.75,0
37,2,6,1530,7.47,8163.03,5.63,3.42,5.19,4.89,5.34,105.3,0.25,0.75,0
37,2,6,1610,7.42,8177.83,5.62,3.43,5.23,5.23,5.12,89.2,0.25,0.75,0
55,0.5,6,1705,7.45,11744.99,5.68,3.35,1,1,1,6.2,0.25,0.75,0
37,2,6,1375,7.45,8133.42,5.62,3.5,5.23,5.23,5.49,98.1,0.25,0.75,0
55,0.5,6,1655,7.49,10901.3,5.48,3.77,1,1,2,5.8,0.25,0.75,0
37,2,6,1495,7.47,7955.81,5.62,3.44,5.21,5.21,6.61,99.4,0.25,0.75,0
19,0.5,6,1425,7.42,10486.86,5.18,3.44,5.86,4.45,5.59,16.6,0.25,0.75,0
19,3.5,6,1610,6.89,7644.97,6.01,3.82,5.81,5.37,6.56,28.7,0.25,0.75,0
37,2,6,1495,7.45,8192.63,5.59,3.23,5.12,5.12,5.38,102.9,0.25,0.75,0
19,3.5,6,1500,6.84,7570.97,5.96,3.76,5.96,5.86,5.63,34.4,0.25,0.75,0
19,0.5,6,1565,7.45,10620.07,5.61,3.38,5.96,5.42,6.39,9.3,0.25,0.75,0
37,2,6,1525,7.43,8118.62,5.56,3.48,5.27,5.2,7.3,93.4,0.25,0.75,0
19,3.5,6,1470,6.87,8148.22,6.02,3.79,6.67,6.37,6.32,33.2,0.25,0.75,0
55,3.5,6,1985,7.13,8251.84,6.05,3.72,1,1,2.3,18.5,0.25,0.75,0
19,3.5,6,1550,6.84,14091.79,6.06,3.85,5.99,5.86,6.51,32,0.25,0.75,0
37,2,6,1550,7.38,8710.68,5.63,3.5,5.1,5.1,5.82,101.4,0.25,0.75,0
55,3.5,6,1780,7.17,8725.48,6.05,3.77,1,1,2.48,25.3,0.25,0.75,0
19,0.5,6,1535,7.47,10034.61,5.54,3.33,5.21,4.13,5.04,7.4,0.25,0.75,0
55,3.5,6,1780,7.24,8385.05,6.09,3.72,1,1,2,16,0.25,0.75,0
55,0.5,6,2180,7.49,10398.05,5.57,3.31,1,1,1,5.6,0.25,0.75,0
19,0.5,6,1660,7.37,10309.24,5.56,3.31,6.11,5.49,6.15,12.7,0.25,0.75,0
37,2,6,1465,7.45,8140.82,5.45,3.37,5.18,5.15,5.88,87.6,0.25,0.75,0
37,2,6,1605,7.39,8533.06,5.56,3.36,5.47,5.27,5.36,106.1,0.25,0.75,0
37,2,6,1435,7.4,8814.29,5.47,3.38,5.34,5.34,5.61,92.5,0.25,0.75,0
37,3.5,9,1395,7.28,7018.71,5.59,3.88,3.63,3.54,5.03,153.9,0,0.33,0.67
55,2,9,1555,7.41,13115.77,5.69,3.62,1,1,2.49,17.3,0,0.33,0.67
19,2,9,1320,7.31,9665.49,6.03,3.91,4.24,4.09,4.84,15.3,0,0.33,0.67
55,2,9,1760,7.41,13044.87,6.11,3.86,1,1,2.48,11.6,0,0.33,0.67
19,2,9,1705,7.33,10492.61,6.15,3.95,4.42,4.27,5.03,17.9,0,0.33,0.67
37,0.5,9,1395,7.47,7727.67,5.29,3.3,2.79,2.3,5.24,81.7,0,0.33,0.67
19,2,9,1380,7.25,10362.64,5.77,3.77,4.75,4.65,6.05,16,0,0.33,0.67
55,2,9,1240,7.39,13588.41,6.08,3.86,1,1,2.48,14,0,0.33,0.67
37,0.5,9,1435,7.47,7609.51,5.42,3.27,4.99,4.35,4.48,84.7,0,0.33,0.67
37,3.5,9,1510,7.27,6924.18,5.67,3.83,3.52,3.39,4.4,164.6,0,0.33,0.67
19,2,9,1820,7.32,10988.89,5.99,3.91,4.47,4.42,5.14,15.4,0,0.33,0.67
37,0.5,9,1620,7.46,7444.08,5.23,3.22,1,1,4.54,95,0,0.33,0.67
55,2,9,1595,7.4,12973.98,5.9,3.73,1,1,1,13,0,0.33,0.67
37,3.5,9,1810,7.3,6522.44,5.72,3.95,1,1,4.8,166.9,0,0.33,0.67
